JobId,UserId,GroupId,Name,JobState,Partition,TimeLimit,StartTime,EndTime,NodeList,NodeCnt,ProcCnt,WorkDir,ReservationName,Tres,Account,QOS,WcKey,Cluster,SubmitTime,EligibleTime,DerivedExitCode,ExitCode
292,caiobt1(1038),caiobt1(1038),teste,CANCELLED,express,5,Unknown,2024-03-01T07:22:19,(null),0,0,/home/caiobt1/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:21:47,2024-03-01T07:21:47,0:0,0:0
290,felipemt3(1039),felipemt3(1039),teste,CANCELLED,express,5,Unknown,2024-03-01T07:22:30,(null),0,0,/home/felipemt3/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:20:15,2024-03-01T07:20:15,0:0,0:0
293,caiobt1(1038),caiobt1(1038),teste,FAILED,normal,20,2024-03-01T07:22:24,2024-03-01T07:22:38,compute00,1,1,/home/caiobt1/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:22:23,2024-03-01T07:22:23,0:0,0:2
291,lincolnrpm(1035),lincolnrpm(1035),sleeps,TIMEOUT,normal,2,2024-03-01T07:21:22,2024-03-01T07:23:31,compute01,1,1,/home/lincolnrpm/scratch,,"cpu=1,mem=500M,node=1,billing=1",,,,unknown,2024-03-01T07:21:22,2024-03-01T07:21:22,0:0,0:0
295,caiobt1(1038),caiobt1(1038),teste,TIMEOUT,normal,1,2024-03-01T07:23:52,2024-03-01T07:25:01,compute01,1,1,/home/caiobt1/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:23:52,2024-03-01T07:23:52,0:0,0:0
294,felipemt3(1039),felipemt3(1039),teste,FAILED,normal,20,2024-03-01T07:23:00,2024-03-01T07:25:58,compute00,1,1,/home/felipemt3/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:23:00,2024-03-01T07:23:00,0:0,0:2
297,caiobt1(1038),caiobt1(1038),teste,FAILED,normal,1,2024-03-01T07:27:09,2024-03-01T07:27:10,compute01,1,1,/home/caiobt1/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:27:09,2024-03-01T07:27:09,0:0,0:2
296,felipemt3(1039),felipemt3(1039),teste,FAILED,normal,20,2024-03-01T07:26:55,2024-03-01T07:27:43,compute00,1,1,/home/felipemt3/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:26:55,2024-03-01T07:26:55,0:0,0:2
298,felipemt3(1039),felipemt3(1039),teste,COMPLETED,normal,20,2024-03-01T07:32:46,2024-03-01T07:32:46,compute00,1,1,/home/felipemt3/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:32:46,2024-03-01T07:32:46,0:0,0:0
300,felipemt3(1039),felipemt3(1039),teste,COMPLETED,normal,20,2024-03-01T07:34:13,2024-03-01T07:34:13,compute01,1,1,/home/felipemt3/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:34:13,2024-03-01T07:34:13,0:0,0:0
301,felipemt3(1039),felipemt3(1039),teste,COMPLETED,normal,20,2024-03-01T07:34:15,2024-03-01T07:34:16,compute01,1,1,/home/felipemt3/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:34:15,2024-03-01T07:34:15,0:0,0:0
299,luizfl(1023),luizfl(1023),bash,TIMEOUT,normal,20,2024-03-01T07:34:06,2024-03-01T07:54:31,compute00,1,1,/home/luizfl,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:34:06,2024-03-01T07:34:06,0:0,0:0
